ACTOR_ID;FIRSTNAME;LASTNAME;SEX;BIRTHDATE;CREATION_DATE;UPDATE_DATE;OBJECT_VERSION
1;actor.firstname1;actor.lastname1;M;1977-09-07;2010-11-01 23:38:29;2010-11-01 23:38:29;0
2;actor.firstname2;actor.lastname2;M;1974-04-06;2010-11-01 21:47:15;2010-11-01 21:47:15;0
3;actor.firstname3;actor.lastname3;M;1965-09-05;2010-11-01 23:13:35;2010-11-01 23:13:35;0
4;actor.firstname4;actor.lastname4;F;1973-01-08;2010-11-01 11:28:13;2010-11-01 11:28:13;0
5;actor.firstname5;actor.lastname5;M;1974-06-07;2010-11-01 22:52:48;2010-11-01 22:52:48;0
6;actor.firstname6;actor.lastname6;M;1982-05-04;2010-11-01 11:56:43;2010-11-01 11:56:43;0
7;actor.firstname7;actor.lastname7;M;1977-09-07;2010-11-01 13:39:24;2010-11-01 13:39:24;0
8;actor.firstname8;actor.lastname8;M;1964-06-09;2010-11-01 11:57:31;2010-11-01 11:57:31;0
9;actor.firstname9;actor.lastname9;F;1962-04-02;2010-11-01 13:54:13;2010-11-01 13:54:13;0
10;actor.firstname10;actor.lastname10;F;1976-06-07;2010-11-01 11:11:46;2010-11-01 11:11:46;0
11;actor.firstname11;actor.lastname11;F;1969-07-07;2010-11-01 11:53:57;2010-11-01 11:53:57;0
12;actor.firstname12;actor.lastname12;M;1973-03-05;2010-11-01 13:19:33;2010-11-01 13:19:33;0
13;actor.firstname13;actor.lastname13;M;1981-09-07;2010-11-01 21:29:54;2010-11-01 21:29:54;0
14;actor.firstname14;actor.lastname14;M;1966-04-03;2010-11-01 11:48:28;2010-11-01 11:48:28;0
15;actor.firstname15;actor.lastname15;F;1982-02-08;2010-11-01 13:24:51;2010-11-01 13:24:51;0
16;actor.firstname16;actor.lastname16;F;1969-01-02;2010-11-01 23:46:55;2010-11-01 23:46:55;0
