id,category,salutation,first_name,last_name,birth_date
1,B,Mme,Denise,Lefebvre,2002-04-09
2,A,Mme,Isabelle,Durand,2007-01-06
3,A,Mme,Jeanne,Dubois,2006-01-07
4,B,Mme,Helene,Dubois,2005-06-07
5,B,M.,Bruno,Lefebvre,2007-04-09
6,A,Mme,Brigitte,Martin,2005-06-05
7,A,Mme,Dominique,Michel,2009-07-07
8,A,M.,Jean,Dubois,2007-06-08
9,B,M.,Guy,Dubois,2006-09-09
10,B,Mme,Nicole,Martin,2004-05-08
11,B,M.,Joseph,Lefebvre,2003-01-09
12,B,Mme,Florence,Bernard,2005-09-01
13,A,M.,Olivier,André,2001-07-06
14,B,Mme,Claudine,Fournier,2001-02-01
15,B,Mme,Monique,Durand,2007-05-08
16,A,Mme,Renee,André,2006-02-05
17,C,Mme,Bernadette,Lefebvre,2001-01-07
18,A,M.,Serge,André,2007-09-07
19,B,Mme,Michele,Petit,2009-04-02
20,A,M.,Pierre,Lefèvre,2001-02-04
21,B,M.,Henri,Girard,2008-07-05
22,B,M.,Joseph,Mercier,2005-08-06
23,A,M.,Robert,Moreau,2002-08-02
24,A,M.,George,David,2001-04-06
25,A,M.,Jerome,Roux,2003-04-05
26,A,Mme,Aurelie,Bernard,2008-06-01
27,C,Mme,Isabelle,Roux,2003-03-05
28,B,M.,Louis,Simon,2004-06-05
29,B,Mme,Renee,Richard,2006-07-09
30,B,M.,Roger,David,2008-05-01
31,C,M.,Bruno,Morel,2002-06-02
32,C,M.,Daniel,Lefebvre,2006-01-05
33,A,Mme,Emilie,Thomas,2008-06-09
34,B,M.,Guillaume,Bernard,2008-05-09
35,C,M.,Gerard,Garcia,2008-06-02
36,B,Mme,Marcelle,Simon,2001-09-01
37,C,Mme,Francoise,Bertrand,2007-03-07
38,B,Mme,Bernadette,David,2005-01-08
39,B,M.,David,Michel,2007-08-01
40,C,Mme,Denise,Petit,2003-07-03
41,A,M.,Serge,Martin,2006-03-07
42,A,Mme,Madeleine,Morel,2003-04-09
43,A,M.,Jerome,Richard,2002-01-01
44,B,M.,Julien,Lefebvre,2003-02-04
45,B,M.,Guillaume,Morel,2002-04-05
46,B,Mme,Cecile,Lefèvre,2003-04-01
47,A,Mme,Danielle,Girard,2007-01-09
48,A,Mme,Brigitte,Bertrand,2005-02-07
49,A,Mme,Christelle,Morel,2006-02-06
50,A,M.,Serge,Petit,2005-04-06
