id,name,email,password,role_id,active
1,Denise Lefebvre,thomas_david@mhc.de,kAweJRIeW,customer,","
2,Isabelle Durand,denise.bertrand@woh.org,jT5KivusRDVe,customer,1
3,Jeanne Dubois,drichard@spnpxfk.us,D3Ju4jeJ,customer,0
4,Helene Dubois,ebertrand@znpsbgbd.it,kCqwhG1I80,customer,1
5,Bruno Lefebvre,laurence_robert@infinex.com,3nO0sY0jXupx,customer,0
6,Brigitte Martin,sdurand@pulsagon.org,97W7NMgjm,customer,0
7,Dominique Michel,claudelefevre@aol.com,mh0b5xRG,customer,1
8,Jean Dubois,elisabethandre@pan.com,LX5yTbvZaCRq,customer,","
9,Guy Dubois,hrobert@rene-dubois.ch,2T3bl4hI5bFS,customer,","
10,Nicole Martin,isabelle.martin@christian-lefevre.be,XquUe5d9ieG,customer,0
11,Joseph Lefebvre,aureliedavid@lpwlrciizsq.be,BZxEc0uNAf,customer,","
12,Florence Bernard,anne_vincent@pvx.de,qVnA5mLZcFo,customer,","
13,Olivier André,odette_lefebvre@kdoyz.ch,Gx2fVHHWk6p,customer,1
14,Claudine Fournier,mauricelefebvre@hotmail.com,t46mOhEPb8E,customer,0
15,Monique Durand,patricia.thomas@yahoo.com,wGiSEWgf7,customer,","
16,Renee André,bernard_lefebvre@yahoo.com,vVH5dLnE,customer,1
17,Bernadette Lefebvre,brigitte_martin@sovdn.com,9szEjbUk0jcl,customer,0
18,Serge André,fmartin@wndlpcinuulk.fr,WvhMt9Ar,customer,","
19,Michele Petit,sebastien_dubois@realbit.net,BJyHqaam94CQ,customer,0
20,Pierre Lefèvre,danielle_garcia@ofepsc.com,9BxNJGPw,customer,1
21,Henri Girard,dbernard@pwtyim.at,71pkFldAmwWX,customer,1
22,Joseph Mercier,catherine.andre@aol.com,0Y8JHzACfu,customer,","
23,Robert Moreau,candre@yahoo.com,w1XIwrgIbK,customer,0
24,George David,mmoreau@xppalp.de,Br8tkx8pB,customer,0
25,Jerome Roux,francoise.petit@bbnau.com,RRE8NmL8L2G,customer,1
26,Aurelie Bernard,georgelaurent@hotmail.com,zPMKXSbsR2UX,customer,","
27,Isabelle Roux,laurence_thomas@yahoo.com,dbx0XIHfgUre,customer,0
28,Louis Simon,joseph.thomas@dataflash.com,M7rIWPpR7,customer,1
29,Renee Richard,hgarcia@kqwekvjlsjb.net,bD8wvbgw3i,customer,0
30,Roger David,rene_roux@ufgnnmv.org,ApRCLy3swCC,customer,1
31,Bruno Morel,mbertrand@kontras.net,2vX9veAOS5,customer,0
32,Daniel Lefebvre,andre.petit@wiretech.com,QmovRDaG7kl,customer,1
33,Emilie Thomas,sergemoreau@aol.com,seQnQ7tq,customer,1
34,Guillaume Bernard,louislaurent@tayckprp.net,K3fb5EeBwA,customer,","
35,Gerard Garcia,margeuerite.thomas@yahoo.com,7wmaDTCjLP,customer,1
36,Marcelle Simon,cthomas@freebit.com,igeyDWUJ,customer,0
37,Francoise Bertrand,fbernard@pplcxoygcbw.com,YQVM0LMSWx,customer,1
38,Bernadette David,colettebernard@nbbexsv.de,abjlynLdN1,customer,0
39,David Michel,laetitia.dubois@hfljf.us,tsUk4b5T,customer,1
40,Denise Petit,christophe.simon@qcjvi.net,I7hwV1FwaOm,customer,","
41,Serge Martin,pbernard@pjdaccc.com,SlukZUwri,customer,0
42,Madeleine Morel,chantal_michel@gmail.com,uPG2bTmWpH,customer,0
43,Jerome Richard,michelpetit@yahoo.com,dvy2s6uB4T,customer,0
44,Julien Lefebvre,bernadettepetit@hotmail.com,HqhH5R3UOmqQ,customer,1
45,Guillaume Morel,celine.leroy@gmail.com,FIx7gooUNtw,customer,","
46,Cecile Lefèvre,marcelle.david@sarcpyog.be,GR6ZhbAq,customer,0
47,Danielle Girard,julie.dubois@yahoo.com,Pbynurxhi,customer,1
48,Brigitte Bertrand,george_martin@hotmail.com,0vuyCOtJq,customer,0
49,Christelle Morel,odettepetit@owsya.ch,8xmatjPEiTF,customer,","
50,Serge Petit,caroline.bernard@ventureflash.org,gqVnQi5zH,customer,","
